level_0,index,News,clean_news
85312,85409, 'Truck driver booked for smuggling 62 migrants from Maharashtra,'truck driver booked for smuggling migrants from maharashtra
38080,38141, lines up Rs 1,lines
133738,133860, 'Telangana: Covid positive man flees hospital,'telangana: covid positive man flees hospital
123650,123768, 'Maharashtra logs best HSC results since 2015; 90% club up 65%,'maharashtra logs best hsc results since 2015; 90% club 65%
13060,13090, 'Manoj Kohli is SoftBank India head,'manoj kohli softbank india head
112256,112372, 'DLSA to provide support to families of poor prisoners,'dlsa provide support families poor prisoners
76753,76846, 'Poaching on the rise in Rajasthan,'poaching the rise rajasthan
204788,204962,000 loan he took 15 years ago,000 loan took years ago
194617,194783, 'Rate war by PSBs sees NBFCs lose car loan marketshare,'rate war psbs sees nbfcs lose car loan marketshare
37657,37718, 'DM office staff mull over recovering rent from shops,'dm office staff mull over recovering rent from shops
189961,190124, stabs him with sword,stabs him with sword
203741,203914, 'Karnataka: 1,'karnataka:
57851,57933, 'Tablighi markaz a factory of coronavirus,'tablighi markaz factory coronavirus
18179,18216, 'Delhi polls 2020: AAP plans 8,'delhi polls 2020: aap plans
182246,182400, 'Mumbai: 20 foreign Tablighis acquitted,'mumbai: foreign tablighis acquitted
159384,159524, 'First E-Lok Adalat held,'first e-lok adalat held
156740,156877, 'Pune: Status quo on 9am to 7pm business hours at least till September 15,'pune: status quo 9am 7pm business hours least till september
26976,27022," 'Priyanka Chopra shares a throwback picture of her with Miss World title and the crown; asks girls to ""dream big","'priyanka chopra shares throwback picture her with miss world title and the crown; asks girls ""dream big"
175985,176136, 'Goa Posts facilitates agri scheme payments to farmers,'goa posts facilitates agri scheme payments farmers
45433,45501, 'Coronavirus scare in Maharashtra: Private doctors to alert health officials via Zilla Parishad website,'coronavirus scare maharashtra: private doctors alert health officials via zilla parishad website
27197,27244, 'Raj men offer to do chores to commit theft,'raj men offer chores commit theft
111291,111405, admits Mundhe,admits mundhe
91290,91392, kills 2 on spot,kills spot
116145,116261, 'Surat to get 200 ventilators,'surat get 200 ventilators
169336,169484, 'Strict norms result in fewer takers for RTE seats this yr,'strict norms result fewer takers for rte seats this
24254,24295, 'MahaRERA directs developers to file source complaints if unable to register project,'maharera directs developers file source complaints unable register project
9595,9620, 'Science-oriented trips must for students: CM,'science-oriented trips must for students:
145554,145682, 'Chimbel locals in dark over ‘planned’ power shutdown,'chimbel locals dark over ‘planned’ power shutdown
218408,218594, maths in simple ways,maths simple ways
203477,203649, 'India’s first facial tech tracker goes live on November 27,'india’s first facial tech tracker goes live november
90612,90714, 'Lawyers face difficulties with e-filing of petitions,'lawyers face difficulties with e-filing petitions
202946,203118, 'Decayed carcass of whale washed ashore,'decayed carcass whale washed ashore
182442,182598, 'Foresters to seek Karnataka help to tame wild tusker,'foresters seek karnataka help tame wild tusker
30116,30167, preference for Goans,preference for goans
27362,27410, 'Chennai: Hit by speeding car,'chennai: hit speeding car
211392,211571,800 school staff in Maharashtra test Covid +ve in mandatory screening,800 school staff maharashtra test covid +ve mandatory screening
57154,57236, 'Botcha Satyarnarayana slams N Chandrababu Naidu for ‘nitpicking’,'botcha satyarnarayana slams chandrababu naidu for ‘nitpicking’
37406,37467, 'Youth pedals from Haridwar to Kochi for spreading hygiene message,'youth pedals from haridwar kochi for spreading hygiene message
206023,206197, masks for Sunday mass,masks for sunday mass
101584,101691, four injured in clash between two groups,four injured clash between two groups
38894,38957, 8 others awarded imprisonment in Rudrapur land grabbing case,others awarded imprisonment rudrapur land grabbing case
92757,92860, 'Chorus grows for electricity bill waiver,'chorus grows for electricity bill waiver
30642,30693, 'Cayman 1st on fin secrecy index,'cayman 1st fin secrecy index
140240,140364, 'Uber to help deliver free meals to hungry,'uber help deliver free meals hungry
206003,206177, '14-day isolation for travellers from 4 states on testing +ve,'14-day isolation for travellers from states testing +ve
180523,180676, councillors meet MC commissioner over pending works,councillors meet commissioner over pending works
208003,208180, 'Q3 should see further boost to manufacturing: Niti Aayog VC,'q3 should see further boost manufacturing: niti aayog
19833,19871, 'Uttar Pradesh: Youth held for derogatory post on religion,'uttar pradesh: youth held for derogatory post religion
91451,91553, 'No teachers or infra,'no teachers infra
135168,135290, 'Priyanka Chopra,'priyanka chopra
69998,70086, 'Hyderabad: No haleem on your plate this year as threat from coronavirus wipes out booming Ramzan biz,'hyderabad: haleem your plate this year threat from coronavirus wipes out booming ramzan biz
44473,44541, 'Drowned teen’s body surfaces after 40 hours,'drowned teen’s body surfaces after hours
9087,9112, 'Maha tourist drowns off Palolem beach,'maha tourist drowns off palolem beach
78060,78155, 'With 49 +ve cases,'with +ve cases
48189,48262, restaurants to remain closed until March 31,restaurants remain closed until march
79873,79968, 'Bareilly: Rain ‘washes away’ 80 cartons of IMFL kept in police strongroom,'bareilly: rain ‘washes away’ cartons imfl kept police strongroom
221932,222121, 'More checkposts along AOB to curb inflow of illicit liquor,'more checkposts along aob curb inflow illicit liquor
116176,116292, 50 party members booked for celebrating Akhilesh Yadav’s birthday,party members booked for celebrating akhilesh yadav’s birthday
6562,6581, cousins bludgeoned to death,cousins bludgeoned death
136899,137021, shares their 'wedding' pics on Facebook; cops rescue girl,shares their 'wedding' pics facebook; cops rescue girl
207207,207383, 'Woman branded with hot iron in Bhilwara,'woman branded with hot iron bhilwara
112730,112846, 'Upload attendance of students,'upload attendance students
74554,74647, '‘Install Aarogya Setu app if visiting BHU hospital’,'‘install aarogya setu app visiting bhu hospital’
152373,152509, 'Salary cut,'salary cut
204033,204206, 'Healthcare data at the click of mouse for Udaipur residents,'healthcare data the click mouse for udaipur residents
46278,46348, 'chaay biskut,'chaay biskut
23623,23663, 'Man gets 10 years in prison for raping minor,'man gets years prison for raping minor
142790,142917, 'Ludhiana: Two drug dealers held,'ludhiana: two drug dealers held
124749,124868, 'Pilot camp gets a breather till Tuesday as HC defers hearing,'pilot camp gets breather till tuesday defers hearing
182828,182986, 'New Lucknow MC tippers face technical snags,'new lucknow tippers face technical snags
58665,58747,656 elderly people,656 elderly people
151455,151590, '40 sovereigns,'40 sovereigns
3869,3881, judgment expected on January 18,judgment expected january
158110,158248, 'KTR ticks off Rajgopal Reddy,'ktr ticks off rajgopal reddy
110955,111069, says SAD president Sukhbir Badal,says sad president sukhbir badal
110023,110136, 'Ludhiana: Up to 50% shortage of labour for road construction work,'ludhiana: 50% shortage labour for road construction work
194319,194485, UP’s 4,up’s
69381,69469, 'Local bodies a wasted force in grassroots fight against Covid-19,'local bodies wasted force grassroots fight against covid-19
43134,43202, 'West Bengal: Dooars plays host to 100 vultures,'west bengal: dooars plays host 100 vultures
178113,178266,957 new Covid cases in region,957 new covid cases region
26476,26522, 'Cash-strapped MP tightens belt to save Rs 25K cr in 2 months,'cash-strapped tightens belt save 25k months
96611,96717, posts Rs 871 crore loss in Q4,posts 871 crore loss
4513,4529, picks up 1M sft,picks sft
79235,79330, Jalore getsvirus scare from migrants,jalore getsvirus scare from migrants
12656,12686, 'Vizagites pin development hopes on executive capital,'vizagites pin development hopes executive capital
109457,109570, 'Inter-dist travellers under scanner,'inter-dist travellers under scanner
61211,61295, help cremate casualties,help cremate casualties
205368,205542, 'Multiple Covid deceased packed in same van,'multiple covid deceased packed same van
150782,150915, create chaos,create chaos
85621,85718, 'Ahmedabad: Covid patient’s body found at BRT station,'ahmedabad: covid patient’s body found brt station
139803,139927, 'More than 27,'more than
181833,181986, 'Ruckus as police team raids Dugri house,'ruckus police team raids dugri house
200170,200341, 'Two-day old newborn found in Rishikesh forest,'two-day old newborn found rishikesh forest
166361,166505, 'Trichy student only one from TN to bag NSS award from Prez,'trichy student only one from bag nss award from prez
181415,181568, 67% of juveniles held guilty in 2019: NCRB,67% juveniles held guilty 2019: ncrb
59226,59309, 'Ronaldo wink was nothing,'ronaldo wink was nothing
140077,140201, 'Adoptive father held for abusing HIV +ve girl,'adoptive father held for abusing hiv +ve girl
177080,177232, '77 stolen two-wheelers recovered,'77 stolen two-wheelers recovered
12951,12981, 'SUV driver tries to mow down cop in Pune,'suv driver tries mow down cop pune
195393,195559, 'Circles,'circles
181264,181417, INLD release lists of star campaigners,inld release lists star campaigners
14498,14530, others must be vetted,others must vetted
75736,75829, 'Madhya Pradesh: Bumper crops,'madhya pradesh: bumper crops
161751,161892, 'Over 35k take north-south Metro on Wed,'over 35k take north-south metro wed
112535,112651, but Covid-19 under control in Tamil Nadu: Health minister,but covid-19 under control tamil nadu: health minister
93499,93602, 'Google buy report lifts Voda Idea 13%,'google buy report lifts voda idea 13%
14988,15020, 'Bhopali Zayka to satiate your taste buds this weekend,'bhopali zayka satiate your taste buds this weekend
73331,73422, Central,central
83707,83803, thanks to strict enforcement of protocol,thanks strict enforcement protocol
181756,181909, 'Bird arrivals at Sambhar Lake fall,'bird arrivals sambhar lake fall
73314,73405, 'Locals alert admin about Iran returnee,'locals alert admin about iran returnee
95503,95607, '010620 Govind + special trains,'010620 govind special trains
20025,20063, '‘Gujarat Model’ to be replicated?,'‘gujarat model’ replicated?
159827,159967, 'Surat: Was the Thai woman killed?,'surat: was the thai woman killed?
52803,52880, to be discharged from isolation on Thursday,discharged from isolation thursday
30308,30359, BJP reminds Congress government of Article 365,bjp reminds congress government article 365
64336,64423, 'Mercury nears fiery forties,'mercury nears fiery forties
159351,159491, engineer who gave up MNC job &amp; four PhD scholars,engineer who gave mnc job four phd scholars
82884,82979, 'Goa: Proposed duty hike scrapped for feni,'goa: proposed duty hike scrapped for feni
222167,222356, licences for 20 years,licences for years
64265,64352, 'Police go filmi on social media,'police filmi social media
65707,65794, 'Shahuwadi: 1 more tests positive for Covid-19,'shahuwadi: more tests positive for covid-19
214101,214283, 'Govt’s priority was to save lives and livelihood of people: CM Ashok Gehlot,'govt’s priority was save lives and livelihood people: ashok gehlot
33372,33430, 'Internal roads more prone to accidents,'internal roads more prone accidents
113040,113156, 'Sirsa varsity dean objects to removal before tenure end,'sirsa varsity dean objects removal before tenure end
113353,113469, 'Don’t cut power over June bills,'don’t cut power over june bills
163794,163936, 'Sole squatter on Ayappakkam lake removed,'sole squatter ayappakkam lake removed
129084,129203, Hyderabad’s noise pollution levels hit roof,hyderabad’s noise pollution levels hit roof
121815,121933, 'Covid testing: Easier to ‘climb a mountain’,'covid testing: easier ‘climb mountain’
23609,23649, 'Trade deal with US may prove harmful to public health: Activists,'trade deal with may prove harmful public health: activists
121049,121167, 'Full lockdown if violations continue: Tukaram Mundhe,'full lockdown violations continue: tukaram mundhe
44192,44260, '342kg waste cleared from Yamuna banks,'342kg waste cleared from yamuna banks
194399,194565, 'Make Ahmedabad model district in country: Shah,'make ahmedabad model district country: shah
166723,166869, 'Efforts begin to get international tag for yellow stone of Jaisalmer,'efforts begin get international tag for yellow stone jaisalmer
2175,2182, 'City teen sings his way to Int’l Book of Records,'city teen sings his way int’l book records
63932,64019, 'Amaria tehsil is Pilibhit’s first corona hot spot,'amaria tehsil pilibhit’s first corona hot spot
94419,94523, hygiene to be promoted through curriculum: Union HRD Min,hygiene promoted through curriculum: union hrd min
51429,51504, 'Covid-19: She tweaks popular logos to promote social distancing,'covid-19: she tweaks popular logos promote social distancing
13433,13465, 'Since 2002,'since 2002
87428,87529, 'Class X and Class XII general results in June,'class and class xii general results june
186210,186373, govt tells Gujarat HC,govt tells gujarat
152967,153103, 'A fractious farewell for Justice Mishra,fractious farewell for justice mishra
135532,135654, 'Strengthen your health infrastructure: HC to Gujarat govt,'strengthen your health infrastructure: gujarat govt
55852,55934, 'With theatres shut,'with theatres shut
184935,185096, 'Greater Hyderabad civic body takes up removal of silt,'greater hyderabad civic body takes removal silt
168921,169067, 'Bihar: Poll process to elect 8 MLCs begins,'bihar: poll process elect mlcs begins
223168,223358, 'GHMC declares man living in Dubai dead,'ghmc declares man living dubai dead
164651,164794, 'Cop ‘encyclopaedia’ on burglary falls prey to nCov,'cop ‘encyclopaedia’ burglary falls prey ncov
24554,24596, 'BEWARE OF PAYTM FRAUD,'beware paytm fraud
49716,49790, 'Surat: Textile markets to close for four days,'surat: textile markets close for four days
179831,179984, 'Shaurya Chakra awardee shot dead in Punjab,'shaurya chakra awardee shot dead punjab
118237,118355, 'LIT employees protest work against ‘police inaction’,'lit employees protest work against ‘police inaction’
183958,184119, 'Onions at Rs 45/kg sold out at farm fresh outlets in Trichy,'onions 45/kg sold out farm fresh outlets trichy
36602,36663," ""Utttarakhand government defines 'forest' twice","""utttarakhand government defines 'forest' twice"
208849,209026, 'Goa: Half of seats at private engineering colleges remain unfilled,'goa: half seats private engineering colleges remain unfilled
19951,19989, two bears electrocuted in Maharashtra’s Ordnance Factory area,two bears electrocuted maharashtra’s ordnance factory area
26633,26679," ""Rs 12.84 lakh stolen from ATM kiosk in Pune's Rahatani""","""rs 12.84 lakh stolen from atm kiosk pune's rahatani"""
127825,127944, 'Police empowered to attach ‘suspicious’ property: Allahabad HC,'police empowered attach ‘suspicious’ property: allahabad
67416,67504, 'Delhi Police registers sedition case against JNU student Sharjeel Imam,'delhi police registers sedition case against jnu student sharjeel imam
210542,210721, 'Army chief to visit UAE,'army chief visit uae
195751,195917, 'Kunal Kemmu: I don’t want this to be the new normal,'kunal kemmu: don’t want this the new normal
117573,117689, 'Cops gets training on maintaining good relationship with public,'cops gets training maintaining good relationship with public
130610,130730, 'Kolkata: E-W Metro staffers join Covid-19 fight,'kolkata: e-w metro staffers join covid-19 fight
121717,121835,Post TikTok ban,post tiktok ban
50538,50613, 'Spike in people under surveillance in Thrissur,'spike people under surveillance thrissur
135472,135594, 'Sero survey covers all 11 districts in Delhi,'sero survey covers all districts delhi
176685,176836, no coronavirus death in 24-hour period at KEM,coronavirus death 24-hour period kem
12855,12885, premises,premises
10367,10392, 'Nagpur University confers first-ever DLitt in commerce to Shrihari Chava,'nagpur university confers first-ever dlitt commerce shrihari chava
71882,71972,000 PPE coveralls,000 ppe coveralls
165316,165459, '4 Covid deaths &amp; 199 new cases in Chandrapur,covid deaths 199 new cases chandrapur
1235,1240, likely tied to tenure of services chiefs,likely tied tenure services chiefs
179068,179221, 'Salary cut protest: Rajasthan govt employees to gherao residences of MLAs on Nov 9,'salary cut protest: rajasthan govt employees gherao residences mlas nov
114318,114434, 'Ayodhya’s grand temple to match ‘Smart’ makeover,'ayodhya’s grand temple match ‘smart’ makeover
217901,218086, 'LPG price hike: Mahila Congress stages dharna,'lpg price hike: mahila congress stages dharna
10187,10212, case against teachers,case against teachers
34540,34598, 'Two women robbed of gold chains in Nashik,'two women robbed gold chains nashik
156980,157117, 'Madhya Pradesh Covid tally breaches 77,'madhya pradesh covid tally breaches
176240,176391,700 corona warriors,700 corona warriors
133744,133866, 'Chirala SI arrested for Dalit youth’s death,'chirala arrested for dalit youth’s death
224531,224722, 'Proper tax collection will help enhance revenue,'proper tax collection will help enhance revenue
166182,166326, 'Telangana: CBI books jeweller for Rs 70 crore loan fraud,'telangana: cbi books jeweller for crore loan fraud
87671,87772, 'Why not allow Metro to resume service,'why not allow metro resume service
182080,182234, says Karnataka’s health minister,says karnataka’s health minister
86594,86694, 'Covid-19: City records 85.12% recovery rate,'covid-19: city records 85.12% recovery rate
64973,65060, 'Patna: OPD services to start in 2-3 days,'patna: opd services start 2-3 days
54505,54583, 'Short-staffed ZP health department initiates temporary hiring,'short-staffed health department initiates temporary hiring
76343,76436, 'City organisation receives help from Chef Vikas Khanna,'city organisation receives help from chef vikas khanna
108601,108714, 'Papon: My music is often inspired by nature,'papon: music often inspired nature
141049,141174, 'Hyderabad: Passport collection a harrowing ordeal as scores gather at office,'hyderabad: passport collection harrowing ordeal scores gather office
107814,107926, 'No coronavirus fears for this scribe who wrote four exams,'no coronavirus fears for this scribe who wrote four exams
212751,212931, 'Defying sand hurdle,'defying sand hurdle
71097,71187, 'Nagpur: Another patient who infected none recovers,'nagpur: another patient who infected none recovers
171479,171627, 15 lakh tests in Delhi,lakh tests delhi
81457,81552, 'Delhi Metro reboots projects with ‘in-house’ hands,'delhi metro reboots projects with ‘in-house’ hands
94119,94223, 'Thundershowers,'thundershowers
23944,23985, 'This common enemy has united India and Pakistan,'this common enemy has united india and pakistan
100109,100216, only a few turn up,only few turn
155512,155648, begins ground work in Panaji,begins ground work panaji
68217,68305, 'Two arrested for theft in liquor shops,'two arrested for theft liquor shops
51931,52006, 'Bar Council seeks aid for jr lawyers,'bar council seeks aid for lawyers
160919,161059, 'Raipur bookworms keep the pages turning with virtual book meets,'raipur bookworms keep the pages turning with virtual book meets
31519,31572, raping 12-year-old girl in Trichy,raping 12-year-old girl trichy
97787,97893, want exams cancelled,want exams cancelled
189849,190012, 'One killed in highway accident near Chakan,'one killed highway accident near chakan
188098,188261, but recoveries still high,but recoveries still high
130911,131031," ""Two deaths take Ambala's toll to 14""","""two deaths take ambala's toll 14"""
207378,207554, 'West Bengal: Abhishek Banerjee returns BJP’s ‘Bhaipo’ fire,'west bengal: abhishek banerjee returns bjp’s ‘bhaipo’ fire
225940,226132, says contemporary dancer Sayli Kulkarni,says contemporary dancer sayli kulkarni
87843,87944, 'Cop hits man helping doctor find an address,'cop hits man helping doctor find address
84643,84739, sanitisers for weary cops at Patradevi,sanitisers for weary cops patradevi
140397,140522,000 ready,000 ready
176897,177048, honours Covid warriors,honours covid warriors
194742,194908, 'Tenders floated for New Town underground utility tunne,'tenders floated for new town underground utility tunne
222348,222537, 'Uttar Pradesh: UPHESC to hire 2,'uttar pradesh: uphesc hire
196035,196201, 33 cases in Kolhapur district,cases kolhapur district
175329,175480, 'Finance firm official held in Rs 3.8L loan fraud case,'finance firm official held 3.8l loan fraud case
135920,136042, 'Youth ends life after failing to buy bicycle for his sister,'youth ends life after failing buy bicycle for his sister
8089,8112, 'Bengalureans head out on an ant trail,'bengalureans head out ant trail
22554,22594, 'Hyderabad Metro yet to clear Rs 60 lakh licence fee,'hyderabad metro yet clear lakh licence fee
207544,207720, one gang rape in 24 hours,one gang rape hours
109413,109526, 'Vitamid-D tablets for rural police,'vitamid-d tablets for rural police
207946,208123, 'Case positivity on Monday 2% more than on Sunday,'case positivity monday more than sunday
152446,152582, 'Gyms open doors but barely 35% of clients return,'gyms open doors but barely 35% clients return
50745,50820, 'Prime Minister Narendra Modi applauds Garhwali folk singer Pritam Bhartwan for corona-theme song,'prime minister narendra modi applauds garhwali folk singer pritam bhartwan for corona-theme song
5558,5577, Bombay high court grants bail to approver in MCOCA case,bombay high court grants bail approver mcoca case
209691,209870, 'Demand for special allowance for civic staff who worked during lockdown,'demand for special allowance for civic staff who worked during lockdown
35535,35594, 'Supreme Court to consider revisiting ‘Hindutva’ definition case,'supreme court consider revisiting ‘hindutva’ definition case
200215,200386, small hotels struggle,small hotels struggle
162036,162177, 'Pay for your dump: Finally,'pay for your dump: finally
120130,120248, 'Corporation ropes in self-help group members to fight Covid-19 pandemic,'corporation ropes self-help group members fight covid-19 pandemic
224802,224993, 'Truckers in Bihar threaten to go on indefinite strike from January 4,'truckers bihar threaten indefinite strike from january
134440,134562, '93% of MBA batch at IIM-Ahmedabad at or below 25 years,'93% mba batch iim-ahmedabad below years
130908,131028, 'Ayurshield clinics a hit as people look for preventive solutions,'ayurshield clinics hit people look for preventive solutions
225474,225666, '12 districts register less than 5 cases on Monday,'12 districts register less than cases monday
25521,25567, 'VC aspirants await government call as panel sits on applications,'vc aspirants await government call panel sits applications
37162,37223, 'Ahmedabad: Honey-trapped with dating lure,'ahmedabad: honey-trapped with dating lure
169285,169433, 'PMR 24-hour tally drops to Sept’s lowest over less testing,'pmr 24-hour tally drops sept’s lowest over less testing
10007,10032, '‘Dispose manja from terrace,'‘dispose manja from terrace
14435,14467, says he’s free to quit JD(U),says he’s free quit jd(u)
187661,187824, 'Deepika Padukone’s manager booked under NDPS Act,'deepika padukone’s manager booked under ndps act
22839,22879, dalits in state,dalits state
45305,45373, 'Weddings affected as CM puts the brakes on big fat events,'weddings affected puts the brakes big fat events
222673,222863, parents resent PSEB decision on charging registration,parents resent pseb decision charging registration
133865,133987,129 new cases in Kerala,129 new cases kerala
80222,80317, kadha &amp; meditation: Covid regimen in UP jails,kadha meditation: covid regimen jails
175772,175923, 'Top 4 Europe firms in fray to build 13km Ayodhya ropeway,'top europe firms fray build 13km ayodhya ropeway
75604,75697, 'Man in Satellite booked for opening sweets,'man satellite booked for opening sweets
114279,114395, opens 24/7 flood control room,opens 24/7 flood control room
13560,13592, '‘Go to Rashtrapati Bhavan to stage dharna against VC’,'‘go rashtrapati bhavan stage dharna against vc’
212091,212271, 'Here as your sevadar: CM Arvind Kejriwal at Singhu border,'here your sevadar: arvind kejriwal singhu border
115585,115701, all eyes now on portfolios,all eyes now portfolios
112035,112151,000 Maharashtra residents to return soon,000 maharashtra residents return soon
112521,112637, wholesale tomato price soars to Rs 60,wholesale tomato price soars
63715,63802, so you can stay in yours,you can stay yours
121283,121401, Guleli citizens’ body backs IIT project,guleli citizens’ body backs iit project
771,775, 'Graduate social science teachers seek ‘fair play’ in PG promotions,'graduate social science teachers seek ‘fair play’ promotions
129716,129836, others held ahead of Chalo Mallaram,others held ahead chalo mallaram
49922,49996, 'APMCs told to ensure supply of veggies,'apmcs told ensure supply veggies
179370,179523, accomplice caught taking Rs 60,accomplice caught taking
202177,202349, 'At G20,'at g20
23066,23106, 'Goa budget: Rs 50 crore for dams to tap Mhadei water,'goa budget: crore for dams tap mhadei water
22014,22054, 'Ambulance staff threaten strike over pay delay,'ambulance staff threaten strike over pay delay
225057,225248, 'Good turnout at tourist spots in south TN,'good turnout tourist spots south
174413,174562, 'KMDA earmarks 44 water bodies for Chhath puja,'kmda earmarks water bodies for chhath puja
167856,168002, Covid patients bail out +ve relatives,covid patients bail out +ve relatives
29872,29923, 'Madurai: All crew not likely to leave Diamond Princess,'madurai: all crew not likely leave diamond princess
21752,21791, 'JBS-MGBS Metro stretch to open on February 7,'jbs-mgbs metro stretch open february
72570,72660, 'Migrant labourers from Badami stranded in Dakshina Kannada return home,'migrant labourers from badami stranded dakshina kannada return home
215461,215644, 'Rain spoils Amreli fishermen’s livelihood,'rain spoils amreli fishermen’s livelihood
222868,223058, 'Dawood’s nephew dies of Covid in Pakistan,'dawood’s nephew dies covid pakistan
94611,94715, 'Rs 50 lakh cover for frontline staff of BEST,'rs lakh cover for frontline staff best
163152,163294, 'Plea in SC against extension for ore transportation in Goa,'plea against extension for ore transportation goa
223390,223580, SOPs will keep changing: Experts,sops will keep changing: experts
102758,102868, 'Covid-free till May-mid,'covid-free till may-mid
200180,200351, 'Vidarbha’s daily cases cross 1,'vidarbha’s daily cases cross
190727,190891, BJP shifts its aspirants to hotels,bjp shifts its aspirants hotels
96657,96763, 'Passenger train operation resumes at Bhagalpur,'passenger train operation resumes bhagalpur
65162,65249, 'Jaipur: Fresh guidelines to segregate patients,'jaipur: fresh guidelines segregate patients
124182,124301, 'Enquiries about road trips rise among travellers in Unlock 2.0,'enquiries about road trips rise among travellers unlock 2.0
117955,118072, woman’s body with slit throat found in Muzaffarnagar,woman’s body with slit throat found muzaffarnagar
210655,210834, 'Justin Trudeau backing farmers but Canada opposes MSP at WTO,'justin trudeau backing farmers but canada opposes msp wto
174141,174290, 'Cargo hub shift delay costs Rs 2.5 crore per day,'cargo hub shift delay costs 2.5 crore per day
39073,39137, Mundhe seeks continuation,mundhe seeks continuation
47376,47448, 'Rajasthan CM holds all-party meet to tackle coronavirus menace,'rajasthan holds all-party meet tackle coronavirus menace
163612,163754, 'SC seeks response from ministry to make tabletop airports safer,'sc seeks response from ministry make tabletop airports safer
214219,214401, 'Allen Park Christmas celebrations: No food stall,'allen park christmas celebrations: food stall
83368,83464, '3 docs among 14 MMC staff booked for not joining duty,docs among mmc staff booked for not joining duty
180545,180698, 'Chandigarh municipal corporation constitutes teams to check illegal vendors during festive season,'chandigarh municipal corporation constitutes teams check illegal vendors during festive season
33097,33154, 'Manipur board asks for BJP’s symbol,'manipur board asks for bjp’s symbol
209230,209408, 'Complex surgery performed on 83-yr-old Covid survivor,'complex surgery performed 83-yr-old covid survivor
15146,15178, 'SCR: Inspection at Lallaguda rly unit,'scr: inspection lallaguda rly unit
154820,154956, 'Resumption of train services sought,'resumption train services sought
81800,81895, 'Firms rapidly automating processes: Zinnov-UiPath,'firms rapidly automating processes: zinnov-uipath
141640,141766, 'Man arrested for killing wife,'man arrested for killing wife
149289,149421, 'Sensitisation drive launched to check police high-handedness,'sensitisation drive launched check police high-handedness
17700,17736, 'Bar council opposes move to shift tribunal out of state,'bar council opposes move shift tribunal out state
153558,153694, 'It’s best if makers take the consent of Sushant Singh Rajput’s family for films,'it’s best makers take the consent sushant singh rajput’s family for films
4623,4640, systemic reform,systemic reform
103488,103598, '85% of migrants had to pay for journey home: Survey,'85% migrants had pay for journey home: survey
147089,147219, 'Goa: Covid fears force some families to defer festivities to February,'goa: covid fears force some families defer festivities february
149874,150006, portion of dilapidated 57-yr-old school’s roof caves in,portion dilapidated 57-yr-old school’s roof caves
76659,76752, 'Covid-19 casualty count breaches 100-mark in Pune,'covid-19 casualty count breaches 100-mark pune
210690,210869, 'Raga Blues: What’s missing this Margazhi season?,'raga blues: what’s missing this margazhi season?
16253,16288,903 crore in first three quarters,903 crore first three quarters
6463,6482, family attached,family attached
82022,82117, 'Bihar: ‘Random tests of migrants led to spike in Covid-19 cases’,'bihar: ‘random tests migrants led spike covid-19 cases’
163909,164051, India conducts 12L Covid-19 tests,india conducts 12l covid-19 tests
217092,217277, govt willing to address concerns: PM,govt willing address concerns:
80667,80762, 'Working hours increased in lockdown-hit industries,'working hours increased lockdown-hit industries
199571,199742, 'Regularisation of PRN colonies in Jaipur to take time,'regularisation prn colonies jaipur take time
118726,118844,000 in PCMC jurisdiction,000 pcmc jurisdiction
91523,91625, 'How we can use AI in fight against Covid-19,'how can use fight against covid-19
149893,150025, 'River water gushes into Steel City houses,'river water gushes into steel city houses
17747,17783, 'Culling memories revive with NGO’s bid for Sukhna ducks,'culling memories revive with ngo’s bid for sukhna ducks
123137,123255, 'Class X: Delhi’s results lag once again,'class delhi’s results lag once again
116427,116543,000 in less than a week,000 less than week
63232,63319, 'Veg markets in open spaces in Cantonment,'veg markets open spaces cantonment
170673,170821, '2 held for Rs 4 cr ATM cash theft,held for atm cash theft
206665,206840, 'Yogi: TOI Water Positive drive a bid to conserve biodiversity,'yogi: toi water positive drive bid conserve biodiversity
204301,204474, 'Traffic police reject Metro’s proposal to install another signal at Ajni Square,'traffic police reject metro’s proposal install another signal ajni square
176550,176701, '392 fresh cases in district as active cases rise to nearly 5K,'392 fresh cases district active cases rise nearly
32006,32062, Budaun police register an FIR against SDM,budaun police register fir against sdm
38527,38590, 'Girl and father held for aiding Pulwama bomber,'girl and father held for aiding pulwama bomber
41775,41843,584 crore for development of roads,584 crore for development roads
101490,101597, 'I’ve been saying BJP toppled my government: Kamal Nath,'i’ve been saying bjp toppled government: kamal nath
161165,161306, toll reaches 215,toll reaches 215
71675,71765, say Kota students,say kota students
67075,67163, 'After all-round criticism,'after all-round criticism
36586,36647, 'Pune: 16-year-old student bags Australian scholarship,'pune: 16-year-old student bags australian scholarship
34036,34094, 'Forest dept struggles to curtail poaching in Trichy,'forest dept struggles curtail poaching trichy
63477,63564, 'CM conducts review meeting with civic body officials,'cm conducts review meeting with civic body officials
180326,180479, 'Farm fires: Former SC judge to monitor steps,'farm fires: former judge monitor steps
148884,149016, '6 held for attacking Dalits with acid in Jhansi village,held for attacking dalits with acid jhansi village
68702,68790, 'Show cause notice to 58 magistrates,'show cause notice magistrates
143331,143458, 'IMFL concealed in boxes bearing virus hazard labels,'imfl concealed boxes bearing virus hazard labels
170931,171079, 'DCB to probe land fraud case with ‘links’ to Patel family,'dcb probe land fraud case with ‘links’ patel family
